"observation","x","map_component","component_1","component_2","component_3"
1222,0.46115,1,0.965424867716437,3.60873704721933e-09,0.034575128674826
1223,0.80225,2,3.54584763035771e-05,0.815159535071368,0.184805006452328
1224,0.89259,3,5.0686337905746e-11,0.000184032874039412,0.999815967075274
1225,0.52637,1,0.984922943454803,2.01997380570428e-06,0.0150750365713911
1226,0.86521,3,1.71720334072526e-08,0.0155596505139276,0.984440332314039
1227,0.87262,3,4.11092412977223e-09,0.00549236478076931,0.994507631108307
1228,0.82191,2,7.35872645684949e-06,0.561770538325711,0.438222102947832
1229,0.56135,1,0.983845629839412,5.694224455501e-05,0.0160974279160325
1230,0.58803,1,0.977687023583922,0.0006933918092972,0.0216195846067805
1231,0.87612,3,2.0189548232707e-09,0.00322811186838602,0.996771886112659
1232,0.76993,2,0.000352453909512055,0.93544456587616,0.064202980214328
1233,0.59847,1,0.972469225907819,0.0018150993857421,0.025715674706439
1234,0.96558,3,3.14858515520119e-24,6.68675836809935e-16,0.999999999999999
1235,0.69713,2,0.0832735464193808,0.84077082558471,0.0759556279959093
1236,0.57857,1,0.980710428211125,0.000287502037055894,0.0190020697518191
1237,0.76259,2,0.000598553699101663,0.943340436119323,0.0560610101815755
1238,0.57071,1,0.98243929980089,0.000137634289960327,0.01742306590915
1239,0.56476,1,0.983403349645502,7.85865518794496e-05,0.0165180638026182
1240,0.96992,3,8.2562233885837e-26,2.56866949424256e-17,1
1241,0.62419,1,0.936905288661825,0.0182494604623242,0.0448452508758507
1242,0.746,2,0.00203158552662283,0.950402963990582,0.0475654504827954
1243,0.5454,1,0.985048963866813,1.25107119796414e-05,0.014938525421207
1244,0.4742,1,0.973442842447602,1.28925478701935e-08,0.0265571446598505
1245,0.72482,2,0.0101301381859581,0.939617254801843,0.0502526070121987
1246,0.59237,1,0.975818926428729,0.00103579162543864,0.0231452819458323
1247,0.77421,2,0.000259555179863765,0.928968115630071,0.0707723291900654
1248,0.7605,2,0.000696822735831175,0.944976460660927,0.0543267166032423
1249,0.7767,2,0.000217419338961363,0.924413458225331,0.0753691224357077
1250,0.71223,2,0.0266727549671718,0.914763600498509,0.0585636445343194
1251,0.56434,1,0.983461889252419,7.5532165888388e-05,0.0164625785816922
1252,0.73895,2,0.0034504620732458,0.949596248797193,0.0469532891295613
1253,0.563,1,0.983640907510333,6.65537592025246e-05,0.016292538730465
1254,0.7047,2,0.0473769546271843,0.88637934445494,0.0662437009178759
1255,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1256,0.78336,2,0.000135699771492244,0.908649079669263,0.0912152205592443
1257,0.55345,1,0.984606173256066,2.69264531888735e-05,0.0153669002907454
1258,0.58221,1,0.979690285394736,0.000403763081346777,0.0199059515239167
1259,0.74736,2,0.00183550727909886,0.950298753555416,0.047865739165485
1260,0.49063,1,0.979591008869205,6.37401056160904e-08,0.020408927390689
1261,0.81976,2,8.92756001063762e-06,0.599624758066334,0.400366314373655
1262,0.99442,3,1.54266454464138e-45,2.88660106402329e-35,1
1263,0.82331,2,6.46139021410865e-06,0.53601123249027,0.463982306119516
1264,0.62167,1,0.943181183097066,0.0146405475548993,0.0421782693480344
1265,0.76774,2,0.000412508413981358,0.938185254654902,0.0614022369311168
1266,0.55765,1,0.984245209785687,4.01132131051276e-05,0.0157146770012083
1267,0.7339,2,0.00505987848421854,0.947496840068678,0.0474432814471038
1268,0.58654,1,0.978249287369889,0.000603908821667046,0.0211468038084441
1269,0.70615,2,0.0424454992524267,0.89295156107053,0.0646029396770429
1270,0.53794,1,0.985190897821961,6.13199990982042e-06,0.0148029701781293
1271,0.73678,2,0.00406610880557033,0.948863244082694,0.0470706471117359
1272,0.75597,2,0.000970619372428506,0.947730448052661,0.0512989325749103
1273,0.47417,1,0.973428192539121,1.28549199262213e-08,0.0265717946059586
1274,0.73426,2,0.00492323118957578,0.947693566425273,0.0473832023851509
1275,0.42574,1,0.911535749426972,1.09996084537406e-10,0.0884642504630323
1276,0.92223,3,1.02523073692697e-14,1.57374300889677e-07,0.999999842625689
1277,0.51404,1,0.983951939034674,6.15452588845616e-07,0.0160474455127375
1278,0.95956,3,2.44426359991423e-22,3.24786756661679e-14,0.999999999999968
1279,0.90703,3,1.15568511916313e-12,8.44750571639964e-06,0.999991552493128
1280,0.76157,2,0.000644603964758349,0.944169376711302,0.05518601932394
1281,0.55697,1,0.984310120523071,3.76087344870093e-05,0.0156522707424419
1282,0.93988,3,1.0568393561776e-17,4.07293948773881e-10,0.999999999592706
1283,0.65537,1,0.696097651370409,0.211149457468578,0.0927528911610131
1284,0.72116,2,0.0134207916443222,0.934465207336678,0.0521140010189993
1285,0.73096,2,0.00633049963309141,0.945590748166124,0.048078752200785
1286,0.66539,1,0.522811056404799,0.37317086882122,0.104018074773981
1287,0.58242,1,0.979626442165602,0.000411738706647463,0.0199618191277509
1288,0.74754,2,0.00181104641473493,0.950278845122184,0.0479101084630809
1289,0.74786,2,0.00176838014789706,0.950239929555866,0.0479916902962371
1290,0.55909,1,0.984099166442857,4.59771240541425e-05,0.0158548564330888
1291,0.88998,3,9.46245309688183e-11,0.000302351344584856,0.999697648560791
1292,0.5509,1,0.984780570482406,2.1129033107015e-05,0.0151983004844874
1293,0.83569,3,1.71276095408644e-06,0.294442386464381,0.705555900774665
1294,0.71335,2,0.0244746362553175,0.917925815425539,0.0575995483191435
1295,0.66757,1,0.481528190306985,0.413444025083633,0.105027784609383
1296,0.58688,1,0.978124215251874,0.000623263472942473,0.0212525212751833
1297,0.5499,1,0.984840137000805,1.92108376808025e-05,0.0151406521615144
1298,0.64378,1,0.834388928923785,0.0925726103017173,0.0730384607744981
1299,0.88439,3,3.41610984591613e-10,0.000828192594454736,0.999171807063934
1300,0.78626,2,0.0001105969436184,0.899765942423011,0.10012346063337
1301,0.78178,2,0.000151717574885304,0.912926610581293,0.0869216718438218
1302,0.99356,3,7.28638101768024e-44,1.00527260604015e-33,1
1303,0.99063,3,1.76287995586878e-39,1.06089941828586e-29,1
1304,0.9354,3,7.2521492364458e-17,2.18948104836099e-09,0.999999997810519
1305,0.83388,3,2.12635248458992e-06,0.328786375216899,0.671211498430617
1306,0.57268,1,0.982059356672021,0.000165609490554317,0.0177750338374244
1307,0.75243,2,0.00125985240248936,0.949190879986681,0.0495492676108293
1308,0.8962,3,2.07872459746013e-11,8.99827330616755e-05,0.999910017246151
1309,0.75473,2,0.00106327604119276,0.948308281381512,0.0506284425772955
1310,0.53637,1,0.98518926623088,5.27588486514417e-06,0.0148054578842552
1311,0.72975,2,0.00694349900551427,0.944640800644652,0.048415700349834
1312,0.62658,1,0.929973556577557,0.0224522082991356,0.0475742351233071
1313,0.63608,1,0.889472399780811,0.0500859746637924,0.0604416255553968
1314,0.97221,3,9.71774852210339e-27,3.76895264426688e-18,1
1315,0.54402,1,0.985094107054204,1.09667297736695e-05,0.0148949262160228
1316,0.48304,1,0.97717203151872,3.04826863819744e-08,0.0228279379985936
1317,0.61426,1,0.95692743988978,0.00759138189157597,0.0354811782186444
1318,0.74774,2,0.00178425824585204,0.950255051177945,0.0479606905762029
1319,0.53632,1,0.985189035997688,5.25067030669456e-06,0.0148057133320055
1320,0.70384,2,0.0505571258917914,0.882190440941409,0.0672524331667992
1321,0.53886,1,0.985186805637896,6.69653813154116e-06,0.0148064978239729
1322,0.69939,2,0.0705196232568723,0.856608336459179,0.072872040283949
1323,0.53942,1,0.98518248405133,7.06519628315654e-06,0.0148104507523866
1324,0.72241,2,0.01219073021356,0.936380007043247,0.0514292627431934
1325,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1326,0.54006,1,0.985175844854215,7.51131213700868e-06,0.014816643833648
1327,0.75208,2,0.00129287552200809,0.949304073519176,0.0494030509588164
1328,0.77715,2,0.000210581918826535,0.923520833469539,0.076268584611634
1329,0.48815,1,0.978868863861121,5.00943613445582e-08,0.0211310860445181
1330,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
1331,0.75258,2,0.00124596509846537,0.949140677537742,0.049613357363793
1332,0.59653,1,0.973641777402706,0.00151914878222361,0.0248390738150705
1333,0.77757,2,0.000204397659491113,0.922667399659735,0.0771282026807741
1334,0.5913,1,0.976314115444703,0.000938364674083986,0.0227475198812133
1335,0.63154,1,0.911812812107293,0.0343004208045344,0.0538867670881722
1336,0.999,3,1.43798611156863e-65,7.62155323036645e-54,1
