"observation","hour","map_component","prob_component_1","prob_component_2","prob_component_3"
602,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
603,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
604,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
605,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
606,23,"2",0.0994959895897134,0.413683629235366,0.486820381174921
607,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
608,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
609,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
610,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
611,23,"3",0.0994959895897134,0.413683629235366,0.486820381174921
612,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
613,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
614,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
615,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
616,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
617,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
618,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
619,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
620,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
621,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
622,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
623,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
624,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
625,0,"2",0.372269283894856,0.483036385732548,0.144694330372596
626,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
627,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
628,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
629,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
630,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
631,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
632,0,"3",0.372269283894856,0.483036385732548,0.144694330372596
633,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
634,16,"2",0.0035614190546116,0.966673468821078,0.0297651121243107
635,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
636,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
637,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
638,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
639,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
640,17,"3",0.00587412902512925,0.737477973175197,0.256647897799674
641,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
642,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
643,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
644,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
645,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
646,22,"2",0.0177219133481277,0.162782674427026,0.819495412224847
647,20,"3",0.00188079640431833,0.0423312459410136,0.955787957654668
648,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
649,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
650,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
651,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
652,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
653,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
654,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
655,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
656,19,"3",0.00205657926372036,0.0707749505782095,0.92716847015807
657,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
658,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
659,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
660,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
661,10,"1",0.246390787636817,0.740960079220036,0.0126491331431465
662,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
663,2,"1",0.94676830694166,0.0487627743913264,0.00446891866701388
664,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
665,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
666,4,"1",0.996562021801504,0.00264834347000784,0.000789634728488004
667,10,"2",0.246390787636817,0.740960079220036,0.0126491331431465
668,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
669,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
670,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
671,9,"2",0.773570134385657,0.203414340833268,0.0230155247810753
672,7,"1",0.990360390081249,0.0044422412325017,0.00519736868624962
673,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
674,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
675,8,"1",0.961127664523373,0.0257363926592165,0.0131359428174104
676,14,"2",0.00155430437817764,0.997700352994166,0.000745342627656525
677,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
678,5,"1",0.99766516491829,0.00136075247604319,0.000974082605667028
679,9,"1",0.773570134385657,0.203414340833268,0.0230155247810753
680,18,"2",0.00407989916343917,0.248416448802589,0.747503652033972
681,17,"2",0.00587412902512925,0.737477973175197,0.256647897799674
682,13,"2",0.00220729446131466,0.997363276046115,0.000429429492569945
683,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
684,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
685,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
686,22,"3",0.0177219133481277,0.162782674427026,0.819495412224847
687,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
688,11,"2",0.0344106762975509,0.962997512328702,0.00259181137374703
689,23,"3",0.0994959895897134,0.413683629235366,0.486820381174921
690,12,"2",0.00629790195626397,0.99300769255413,0.000694405489606138
691,23,"3",0.0994959895897134,0.413683629235366,0.486820381174921
692,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
693,21,"3",0.00399946593837372,0.0612012845556356,0.934799249505991
694,18,"3",0.00407989916343917,0.248416448802589,0.747503652033972
695,10,"2",0.246390787636817,0.740960079220036,0.0126491331431465
696,15,"2",0.00196692671938955,0.994632174807594,0.00340089847301619
697,0,"1",0.372269283894856,0.483036385732548,0.144694330372596
698,3,"1",0.989022177668677,0.00968469416339992,0.00129312816792258
699,1,"1",0.757679004928895,0.216443111013307,0.0258778840577979
