"observation","map_component","hour","sin_1","cos_1","sin_2","cos_2"
308,"2",15,-0.707106781186547,-0.707106781186548,1,1.19434011948696e-15
309,"2",23,-0.258819045102522,0.965925826289068,-0.500000000000001,0.866025403784438
310,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
311,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
312,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
313,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
314,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
315,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
316,"1",2,0.5,0.866025403784439,0.866025403784439,0.5
317,"2",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
318,"1",0,0,1,0,1
319,"2",13,-0.258819045102521,-0.965925826289068,0.5,0.866025403784439
320,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
321,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
322,"1",5,0.965925826289068,0.258819045102521,0.5,-0.866025403784439
323,"1",6,1,6.12323399573677e-17,1.22464679914735e-16,-1
324,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
325,"1",8,0.866025403784439,-0.5,-0.866025403784438,-0.5
326,"1",4,0.866025403784439,0.5,0.866025403784439,-0.5
327,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
328,"1",3,0.707106781186547,0.707106781186548,1,6.12323399573677e-17
329,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
330,"2",14,-0.5,-0.866025403784439,0.866025403784438,0.500000000000001
331,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
332,"3",20,-0.866025403784439,0.5,-0.866025403784439,-0.5
333,"2",11,0.258819045102521,-0.965925826289068,-0.5,0.866025403784438
334,"3",22,-0.5,0.866025403784438,-0.866025403784439,0.499999999999999
335,"2",10,0.5,-0.866025403784439,-0.866025403784439,0.5
336,"2",18,-1,-1.83697019872103e-16,3.67394039744206e-16,-1
337,"1",1,0.258819045102521,0.965925826289068,0.5,0.866025403784439
338,"1",9,0.707106781186548,-0.707106781186547,-1,-1.83697019872103e-16
339,"2",12,1.22464679914735e-16,-1,-2.44929359829471e-16,1
340,"2",16,-0.866025403784438,-0.5,0.866025403784439,-0.499999999999999
341,"3",19,-0.965925826289068,0.25881904510252,-0.499999999999999,-0.866025403784439
